ID_Cliente,Idade,Salario_anual,Tipo_Propriedade,Tempo_empresa,Proposito_Emprestimo,Pontuacao_emprestimo,Valor_emprestimo,Taxa_juros,Possibilidade_inadimplência,Percentual_Renda_Emprestimo,Historico_inadimplencia,Tempo_primeiro_credito,ID_historico,Codigo_emprestimo
6WwfrARC-fmHv,21,24996,Rent,3,Education,B,6000,11.83,0,0.2400,N,3,ky35czUF-PvkX,wgLg7p2i-aNLH
LzJTc5qP-ZJx2,21,26000,Rent,1,Personal,B,2400,11.58,1,0.0923,N,4,5mmRcWRZ-7Zge,mFDmlPA7-NgHR
OpuzEoYR-Pjpy,21,35004,Own,5,Venture,B,1500,9.62,0,0.0429,N,2,u9i3lJnL-AlAw,yyamfrsY-wjiH
2hISp6c5-GQJs,21,80000,Mortgage,5,Education,C,5000,12.99,0,0.0625,N,2,yhu65jJv-JJF1,BJjx8wgQ-6IpO
rADeEkTg-SdWT,21,45000,Rent,3,Venture,B,6500,10.74,0,0.1444,N,2,XGEubg7u-2NcK,SUjb1g5U-WeXR
7DMofDe9-OjUv,21,39996,Mortgage,6,Education,C,13000,13.48,0,0.3250,N,2,J2gzURgl-bvRj,eYNnbcja-aDzs
DxuKlnOO-SDyz,21,27600,Rent,4,Education,A,7500,6.76,0,0.2717,N,4,eZwbMLC7-OCnK,xeNOuDfr-Fr7N
4HepjPAl-7oiY,21,30720,Rent,5,Education,C,18000,13.48,1,0.5859,Y,4,dqo0gITJ-FeuT,o8l4T11u-W55n
xo0OabD0-FXYf,21,75000,Mortgage,4,Education,B,7125,9.99,0,0.0950,N,4,zX58Xp5H-snHP,uvv2QIFD-BL4o
ZrDkxOIJ-toI3,21,25000,Rent,6,Education,B,6925,11.71,0,0.2770,N,3,bo7tcWvF-ppSp,0rcJfOwK-w7cu
WS9F6Nxk-ROp1,21,42000,Rent,5,Education,A,1500,5.79,0,0.0357,N,3,PjitM94U-LZqJ,tIGa0lLE-z3KO
bFrdLGDw-FPrc,21,27000,Rent,5,Venture,A,5000,5.42,0,0.1852,N,3,ogU43J43-gMMH,2TebGC33-ZzBT
pgOiSZoK-58yt,21,20000,Rent,4,Personal,B,6400,10.99,1,0.3200,N,3,Z0Z2I0Ry-88cK,fEHP3FRK-UJI6
5FjJNNoM-I5Ig,21,33000,Own,2,Education,C,11000,13.11,0,0.3333,Y,3,5byBbEXa-wqUX,LhdzkZYD-Iuip
CpeyXfri-9dLr,21,40000,Rent,5,Education,B,1500,12.18,0,0.0375,N,4,I7BO4jyw-ueRQ,eOp6brNW-6brH
j0fk3jTJ-fGDy,21,63250,Rent,2,Personal,B,6225,10.99,0,0.0984,N,4,PP8oxLHX-yuhW,nJwmG4kj-ob1O
7ASTi6PE-fFaf,21,38000,Rent,5,Debtconsolidation,A,3000,7.05,0,0.0789,N,4,lWiixE3u-YQUN,d0MQcbSK-Li23
teRoAOg2-koc9,21,40000,Rent,5,Venture,D,1200,15.58,0,0.0300,N,4,aMxpIb94-MOo7,FanrScp1-2eBW
a32shTsD-hWBZ,21,45000,Rent,3,Medical,A,9000,8.49,0,0.2000,N,3,2Pxl290l-X7MY,UhnC4nJT-mRCT
Kz3q9Zru-5yi1,21,31000,Mortgage,5,Personal,A,6000,7.51,0,0.1935,N,4,Gjc1zeuN-ThFU,tdidjetA-Pzfm
FvCJCTdk-509A,21,33168,Mortgage,6,Personal,B,6425,9.63,0,0.1937,N,3,8X8TyFpM-RxDs,A7pIw6lq-hWi1
LxIw7IB9-Lbet,21,15000,Rent,6,Venture,A,4800,8.49,1,0.3200,N,3,YzONb1wF-7SmQ,MFHKbsyR-dbKw
tjEjUgHy-o9Ty,21,33000,Rent,5,Education,C,5000,12.84,0,0.1515,N,2,EZ2TUGo6-I2yk,hPm3Y2RG-Pozp
mfjAQ4ak-neKc,21,53000,Rent,5,Education,A,10000,7.51,0,0.1887,N,4,Gu8C0YD4-7ZdG,8at3GPyS-WLK3
0r0WfDtb-7y0e,21,15300,Own,5,Medical,A,2500,6.03,1,0.1634,N,2,L5EiXpbZ-lTmZ,NgPGeBeb-L3x8
CaT6E3pl-dln9,21,90996,Mortgage,5,Personal,B,6000,9.99,0,0.0659,N,2,qQLoHuaB-lelH,XDq4ugJ2-7pGN
LRC7oTi7-Iyct,21,59000,Mortgage,5,Medical,B,25000,9.99,1,0.4237,N,4,BBdi2IPf-GIYw,Xvxz7fvE-CyZ9
Kcvo9M9t-9hdv,21,33600,Own,5,Venture,B,3000,11.83,0,0.0893,N,4,SaxNXOM6-uWBZ,M8EraPgA-yJ9m
c9OK3PgA-EkJh,21,39600,Own,5,Personal,A,3500,6.62,0,0.0884,N,3,ITIe3DvG-epBA,vKFgL54I-a8LN
kU7oxG5M-vsUN,21,101004,Mortgage,2,Debtconsolidation,B,14000,10.25,0,0.1386,N,2,gdC8HLo6-wm2D,EJLwI9h6-TuIP
nBf0OvpO-SfaX,21,29000,Rent,5,Medical,D,7000,12.61,1,0.2414,Y,2,zzCiovDa-iTOA,l0j3PpOh-dejL
NYJHwKNK-nfoh,21,26000,Own,5,Education,A,6000,5.79,0,0.2308,N,2,9boI8PpM-GvJg,7pxBwrg0-P5Uu
yoQF5ErN-eitF,21,40000,Rent,5,Venture,A,10000,7.51,0,0.2500,N,4,QzRGOTKO-eB3z,FFDXENUM-AqPX
wpZTefJs-t12q,21,10000,Own,2,Homeimprovement,A,4500,8.63,1,0.4500,N,2,UU2U2Aer-UkK3,DP2L48co-hX91
oX0TQbuW-xB3G,21,70000,Rent,5,Education,A,4000,7.9,0,0.0571,N,2,vqKknxSa-dGaG,yzYj0uE3-bmIH
E2ds57D2-g716,21,20004,Rent,2,Debtconsolidation,B,3000,10.37,0,0.1500,N,4,66dDtqYA-2kLK,XSXMNzWh-FJCW
mtstHHUP-yegz,21,65592,Mortgage,5,Education,D,3600,15.99,0,0.0549,Y,3,gBPJ2SSG-iIW6,brbiEqLN-jhqI
1YpgYTfY-ERvr,21,39000,Mortgage,5,Education,A,1000,7.49,0,0.0256,N,3,HBCwvn7q-tvUL,XymFnBKz-axoa
oWqAC6bo-uHRI,21,60000,Rent,6,Education,B,25000,10.99,1,0.4167,N,4,sLHa0ymx-2jrs,NSqyAwNO-Aytm
o0Rm8PIw-29wU,21,75000,Mortgage,5,Education,A,8550,6.91,0,0.1140,N,3,bbo5wMo9-OGdx,ErITXeA8-GwBm
JIlR1RIs-NRoz,21,50000,Rent,2,Education,D,18000,14.74,1,0.3600,N,2,KiSuIUYv-e7mK,QY1714Zy-XPot
OjC7Ylgx-6F7L,21,76000,Mortgage,6,Medical,B,14000,12.69,0,0.1842,N,3,1G52vR37-wRxH,dTPzRoF6-LIXS
neMHzpbh-STj0,21,42000,Own,5,Venture,B,12250,8.88,0,0.2917,N,4,CnMuXahl-DMKA,wpLik81L-PBcn
iHar8HN7-1YkN,21,45000,Rent,3,Personal,A,7200,9.38,0,0.1600,N,4,Sfj6mx0T-ixdS,XqGa4BKn-WWe1
SgjsTf1I-1Xg8,21,32400,Rent,2,Venture,C,10000,13.23,1,0.3086,Y,3,UTzTsGDd-aubE,icnPNWbr-zBW3
p0NCS6cg-qLG2,21,24000,Rent,5,Education,B,2000,11.14,0,0.0833,N,4,Wxl4jSx4-f2F8,LyeX8LGo-1nAP
HRT3wzqE-1Oc6,21,30000,Rent,2,Debtconsolidation,D,12250,14.59,1,0.4083,Y,3,yf3YnaFb-9mcU,DWFwW33H-miED
2QBI8Qdq-GwwM,21,65004,Mortgage,5,Debtconsolidation,B,5000,9.99,0,0.0769,N,3,MHXnvdjy-aTBe,US4nD5vf-ChQv
hvkTQGus-25Hn,21,84000,Mortgage,5,Education,B,2500,9.99,0,0.0298,N,4,PLFEUmZD-hZ7B,LasrPqM5-KTGH
elAXzLYG-1iMX,21,60000,Mortgage,4,Education,B,12000,11.36,0,0.2000,N,3,BYjB5KGl-bc3A,D8zMjlFS-zDDS
kPl3SlT3-gzCN,21,75000,Rent,5,Medical,B,15000,10.37,0,0.2000,N,4,1cbaO1OZ-rrUK,QeHNWQo2-KfPE
FRuChaMa-oFuc,21,55200,Mortgage,5,Venture,A,8900,6.17,0,0.1612,N,2,WJPe5kp1-EZbU,3fns6KRw-5UDs
ChtUr3d0-3yA1,21,55000,Rent,3,Education,B,4800,11.12,0,0.0873,N,4,3D6wi2O8-v1BA,NoylTnsu-mZxs
YWiAZ1tq-8pdH,21,78000,Rent,4,Venture,A,10000,5.99,0,0.1282,N,2,zRLKltB6-wKtm,DPy84NjI-JP4r
KNPZMqNP-DuKj,21,37200,Rent,1,Debtconsolidation,B,7000,10.99,0,0.1882,N,3,wbR8GHms-v6S8,zWghOKXF-UWYT
z4DtmQ9C-C40F,21,30000,Rent,4,Education,D,3000,16.32,0,0.1000,Y,3,926JOHRK-USz1,cGLjxwsW-17Wl
eRtCiyCd-istI,21,36000,Mortgage,1,Medical,A,4000,5.42,0,0.1111,N,3,JyC9O87F-njEk,XBE6ghoy-DT0Y
qERSQWwc-0CHs,21,35000,Mortgage,5,Education,B,1500,9.63,0,0.0429,N,2,rWe1vLro-Gcsd,keQrwDp1-G039
foUHec0Y-eiXf,21,65000,Mortgage,5,Venture,A,10000,6.03,0,0.1538,N,3,HY8etuEP-gsqd,SQ6CmD7x-E7Ad
GhiqbDWd-6HM7,21,66000,Mortgage,4,Debtconsolidation,A,7000,7.88,0,0.1061,N,2,pbcIX6j5-Lnhc,AAzkjEKc-9Sln
SI8OIPJb-bOiT,21,90000,Rent,2,Venture,B,3300,11.71,0,0.0367,N,4,P83KJHU2-QIeO,7y968J7E-zLAY
dFJejtSS-U54Y,21,60000,Mortgage,5,Debtconsolidation,A,10000,5.99,0,0.1667,N,2,cDvTuQ2z-XDvJ,yZu1Tozg-gXP5
IeqaKxFd-z06u,21,62316,Mortgage,5,Medical,A,10000,7.66,0,0.1605,N,4,9Jws0Dti-CacT,bEGhh4QT-84ND
rgHUJv2L-6UqX,21,45000,Rent,3,Medical,B,9600,12.18,0,0.2133,N,3,ElwCZI3i-Zedp,Dvfl8eFj-9O2N
rlsCdGjI-vvCN,21,24996,Own,3,Education,D,7000,15.58,0,0.2800,N,2,J3KNxfKr-9zOq,eTKZL8ss-jvui
ObmrAcBx-0qnw,21,36500,Rent,2,Venture,A,5500,7.51,0,0.1507,N,2,ezpEgpda-LtFI,uOzmdlzG-qPaG
CtdPP9wT-l4Hi,21,30000,Rent,5,Education,C,2000,13.43,0,0.0667,N,4,xRGZ3TLM-2TlL,6umPmaj3-M15S
TenczLdH-GbAY,21,24996,Rent,2,Education,E,5000,16.45,1,0.2000,N,4,wHtKRCa0-NR75,X75IPvzb-zEnl
HbmrAz7R-nHbm,21,19800,Own,4,Homeimprovement,D,6800,14.59,1,0.3434,N,2,w7uwMMZC-Ozj0,LNMdp3W1-McUM
lXKtfIH4-Clw6,21,50000,Rent,5,Debtconsolidation,A,8075,6.17,0,0.1615,N,2,WBtyF6Ub-d4DQ,vXYHnv9x-arIR
u03tbyFD-kivI,21,53000,Mortgage,5,Venture,C,18000,13.8,0,0.3396,Y,3,tZHUg48k-WmbY,6SlddJLo-ZorK
wG82lglq-KZA5,21,83000,Mortgage,3,Venture,A,14000,8.49,0,0.1687,N,2,EWOCgn6H-zAB7,xfW63qJ5-KHc1
LmwskARR-HyA3,21,41900,Rent,2,Venture,C,16000,12.84,1,0.3819,Y,2,j3jnnG3T-iF3N,0YpSbTgj-CZKT
eUiEGY4v-tSDP,21,40000,Rent,6,Debtconsolidation,C,15000,14.27,1,0.3750,N,3,vekO8KpL-bKu3,38Z1D9cY-jOUE
QjKLZBBb-lWLk,21,50252,Rent,4,Debtconsolidation,B,5000,11.46,0,0.0995,N,2,9zmA3aB5-7tGp,x8DERfeo-Ltca
hSsqpcCw-PDdJ,21,85000,Rent,5,Personal,B,3200,10.25,0,0.0376,N,4,JLuP59LM-XvT7,ZDKYW8d9-4hU7
Yu00cQ2k-H4hd,21,21700,Rent,2,Homeimprovement,D,5500,14.91,1,0.2535,N,2,xDklu0NA-P5pb,TrBcx2Ww-zgXl
3PgPsQcK-Bd5r,21,33000,Rent,2,Education,C,10800,12.23,1,0.3273,N,3,nqC8ztqP-9ZWO,iwhHWNYx-wQrW
CndW5fm5-qxmx,21,66000,Mortgage,5,Medical,A,18000,6.91,0,0.2727,N,3,4dmAHZdk-wkiG,m0ot4a4m-8CEe
bWBG5sxh-O8H3,21,45000,Mortgage,4,Education,A,5000,7.14,0,0.1111,N,4,914X1W2D-PEHF,gEPFdDtv-n6z8
khDJXl11-zGkM,21,36895,Rent,6,Medical,A,4200,9.32,0,0.1138,N,3,AbEI1rNc-ruI9,YTLCM9sI-dRDj
4fXmWjJB-zGmt,21,27000,Rent,5,Medical,D,4000,15.58,1,0.1481,Y,2,MtShFnZa-oaMO,izxP0wrw-owKw
MlylouIb-oEqI,21,45000,Mortgage,5,Venture,A,18000,7.88,0,0.4000,N,2,aYrkfyTp-0z6B,YXdoqBY7-JCp1
iZB8CR4f-Yhm0,21,57000,Rent,6,Homeimprovement,D,10800,16.77,1,0.1895,N,4,RBkuoZOQ-zoWx,zYp27kjj-f6so
qRMJOlea-Gi2Y,21,38000,Rent,5,Venture,B,3500,10.59,0,0.0921,N,3,9gisBGGC-LNIx,wqIrLN5g-KabH
DqMMbIW3-6ub9,21,25200,Rent,2,Education,A,6000,7.49,0,0.2381,N,3,CgXHxe7I-aBJ5,CJeanO99-DnZ6
viQ4srke-hNLs,21,65000,Mortgage,5,Debtconsolidation,B,2200,12.42,0,0.0338,N,3,pG3NluL7-P3CN,6F2GWLjZ-gCOl
c5qlIXKX-KYyq,21,15600,Own,5,Venture,A,1000,7.29,0,0.0641,N,4,OT1Ik6jU-1Ntn,DjjCNcG7-2MZx
lc1cxw24-51Ol,21,90200,Rent,2,Personal,C,19125,13.92,0,0.2120,N,4,E6zNrbyY-qIOm,Yue7mQSj-tFJZ
BYmg43Fi-Mvaj,21,40000,Rent,3,Education,D,7000,14.46,0,0.1750,N,3,M2sgMabi-q39B,i536G5cd-egh3
buTRyu8E-3IRL,21,45000,Rent,3,Personal,A,3200,6.54,0,0.0711,N,4,mY9Zm8i5-0Alw,dWAbSFLp-YN78
oHzfiBMd-2uDz,21,100000,Mortgage,3,Venture,A,6200,8.49,0,0.0620,N,4,ZxtPJ73K-lYRB,pgj4NgUo-6xut
o5OjKYfk-8p82,21,18000,Rent,2,Debtconsolidation,C,5800,14.72,1,0.3222,Y,4,gP0CxJJB-ckBQ,d53XU5bS-x9mu
jg5OzFyv-GeFn,21,47500,Rent,2,Education,B,7500,10.99,0,0.1579,N,3,0CSNBdy1-n5ws,6ywrTDYg-yb1g
7dBZdhCE-h8p6,21,115000,Mortgage,2,Debtconsolidation,B,20000,10.83,0,0.1739,N,4,nXgfW7LO-jpuK,DyCfcRiz-0s1F
nqzNBpsd-BndJ,21,40000,Rent,1,Education,B,6000,10.08,0,0.1500,N,3,NM9TZDRl-qH1L,aXGiMdBv-Mo2e
c93hNsYy-wJeM,21,51996,Rent,5,Personal,A,4600,8.59,0,0.0885,N,2,gP2q1Iei-9vBn,eYnOp2xl-xDaI
X5sLBe45-oCX4,21,28000,Rent,3,Education,B,8000,10.99,1,0.2857,N,2,fZbBIdZw-m7re,DttNX5Ti-K0jK
62LL20lR-qheH,21,56000,Mortgage,5,Education,B,18000,10.25,1,0.3214,N,2,Q1MCtURD-IORN,TrXUL0yB-WWXy
h7vLdXH9-pWxo,21,33000,Mortgage,5,Homeimprovement,C,2000,14.27,1,0.0606,N,4,Ajtoc58N-bnF2,hlnNmicO-22WA
iFvNIQsd-4m32,21,30000,Rent,2,Personal,B,7000,10.99,1,0.2333,N,2,DWzxhDgn-Ix88,EbuEyIiv-kNuh
t3l1mR8D-tYb4,21,64000,Own,5,Medical,A,10000,7.66,0,0.1563,N,3,DvHjFRAJ-rB8p,vKMq86cS-rqED
6chcGqLM-rFFg,21,38000,Mortgage,5,Education,C,7000,13.49,0,0.1842,Y,3,tT6MJ0pC-om8o,o4PNxmwt-sKMd
bqzhYsoX-NYY3,21,31000,Mortgage,5,Education,A,7500,5.42,0,0.2419,N,4,17YIbCfN-uI5c,Ibq49ctZ-mFHa
3G5vmhs3-7J8O,21,21000,Rent,2,Education,B,10000,11.71,1,0.4762,N,2,NDXjd9CQ-eyqe,2CbIcMuu-awfc
WqvFtkqc-jquj,21,65004,Mortgage,5,Education,B,5000,9.99,0,0.0769,N,4,0zjoZsxX-RWHz,E3lQ1Bag-vbZA
uF0qhYer-rlOH,21,12000,Rent,5,Education,A,3000,8.9,1,0.2500,N,4,jIReltNW-ztFu,aOQEJQ9z-oPR6
jWmwAt2i-mr5Y,21,20004,Own,2,Medical,B,2500,9.63,0,0.1250,N,2,KEJi4bLh-Otho,noJOil0c-kI92
q9yffya5-hFDG,21,70000,Rent,5,Medical,B,9700,12.53,0,0.1386,N,4,0GiI0DOC-spq2,EZA6BbvK-fXeC
OpKqB1bj-HAot,21,24000,Rent,2,Medical,C,5000,12.98,0,0.2083,N,2,9cdLiRkS-74tZ,tU3bF1AF-wpfX
oibzhjzo-OTiY,21,50031,Mortgage,5,Personal,A,2000,5.99,0,0.0400,N,2,IvJpsoFv-XtSB,oGXuH4UA-TCb5
W3yfoyzJ-i77E,21,42000,Rent,5,Venture,D,11200,16.77,0,0.2667,N,4,3C40Sifg-ALzY,rZ4UXP1R-0vtn
N6f1qpl2-nZNT,21,42000,Rent,5,Personal,D,1000,15.58,1,0.0238,Y,4,jGqZekxj-UQ0n,vFxYwnTF-wUFY
ZSCaY9Rc-iwjZ,21,39996,Mortgage,5,Personal,B,8000,10.25,0,0.2000,N,4,xaJMEkN8-1Jzl,uRZ06p11-nI82
hhnsDfUw-pvk9,21,33600,Own,6,Personal,C,9600,13.98,0,0.2857,Y,4,vhy9owRL-MTYr,yDfn4s8L-MWNl
riyaM5Iq-LGw6,21,66000,Mortgage,5,Education,A,4500,7.49,0,0.0682,N,2,knJM2cHe-1DCH,Ro3vFzTF-rwcA
KI7BqsSt-Iavt,21,39000,Rent,4,Education,B,6000,10.38,0,0.1538,N,3,9oWRTWUT-L49X,HvtjOceb-inOW
LJk5ZYtK-KGzW,21,27600,Rent,2,Education,B,3000,11.49,0,0.1087,N,4,kHMD3UYm-lzde,hg9WuMab-id81
xBEtcCtP-l5KW,21,87000,Rent,5,Medical,B,11000,11.58,0,0.1264,N,2,JGPzYjG5-ga2j,F6d01UCe-D2Pz
mzyo9Dfw-YIb7,21,35000,Own,2,Medical,A,11000,7.88,0,0.3143,N,2,o1HAbHEY-W7rm,K4ql9op8-X9HR
3LeoZSqR-xTfa,21,56000,Rent,5,Venture,B,12000,10.75,0,0.2143,N,4,g1bfPL9C-vRgB,dDvJd6RB-JrCO
uE6Czbjz-mhOc,21,43000,Rent,5,Venture,D,8500,15.58,0,0.1977,N,2,8vwIYgAZ-PbJe,6OZr3vAN-O7jm
vqLXSSGg-RoxF,21,120000,Mortgage,5,Venture,B,15000,10.25,0,0.1250,N,2,aPBd1Ear-hW20,MgKG9vBJ-d3r2
Bx4sMAZW-Wqj2,21,37260,Rent,1,Homeimprovement,D,7500,14.84,1,0.2013,Y,2,lzqORfBy-fWd9,W2Ms8mrY-3xIW
8NaG279r-BHwB,21,50000,Rent,5,Venture,B,8500,10.65,0,0.1700,N,2,9YRzoJfX-4m1x,EdnIF8RW-DnI3
xSghh8QG-lqvd,21,18000,Rent,1,Personal,A,3200,8.49,1,0.1778,N,3,km4kGepq-bsil,QlcSw2B2-DFpZ
b3p30ZuQ-T42o,21,28000,Own,3,Venture,A,4000,7.88,0,0.1429,N,3,OgOuenDQ-sjYH,IJHqTi1w-PEGa
Fxz5ZPG0-8Sni,21,30000,Rent,5,Education,B,7500,11.83,0,0.2500,N,4,AN2v7nkz-1Epm,gl2U8XrG-Bi1f
OrdLKtc2-fkqy,21,30000,Rent,1,Venture,D,14500,14.59,1,0.4833,Y,2,4QTMt5XN-P2lI,AkSI3UbI-7jra
QpEIbI8b-m9pv,21,39000,Rent,5,Personal,B,9250,9.91,0,0.2372,N,4,i969q837-bwJ1,MvyH6gse-wlg2
IKm6orWx-l9kN,21,11000,Mortgage,3,Venture,E,4575,17.74,1,0.4159,Y,3,pgGchgse-oPGo,ibHirZXs-ODp5
OEFZ769E-BKw6,21,60675,Rent,5,Personal,C,7200,14.72,0,0.1187,Y,2,dquqoFAf-iyF7,lLO5d9UJ-Am1d
7xBiR86G-EdJb,21,34000,Rent,4,Education,B,1800,11.49,0,0.0529,N,4,EK4xiNJ0-lcGi,0KBvHsQW-LC4o
lKW9uIoy-Uzx2,21,44500,Own,6,Education,D,5000,13.87,0,0.1124,Y,3,6SkzTWEv-MwXL,fbhoXezb-auqv
